"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","condition","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"4227.999999999971","","","survey-likert-extra-labels","42","254932","0.0-18.0-3.0-0.0","37247","1B","conjoined","woman","","","W2 is carrying W4","carry","rating_causation","{""Q0"":6}","[0]","W2 is being moved by W4","W4 is being moved by W2"
"null","Mike and Ruth are arguing with each other","","html-keyboard-response","43","256933","0.0-19.0-0.0","37247","1B","conjoined","woman","","null","M4 and W2 are arguing with each other","argue3","sentence","","","",""
"2012","","","survey-likert-extra-labels","44","258947","0.0-19.0-1.0-0.0","37247","1B","conjoined","woman","","","M4 and W2 are arguing with each other","argue3","rating_causation","{""Q0"":3}","[0]","W2 started an argument with M4","M4 started an argument with W2"
"4035","","","survey-likert-extra-labels","45","262984","0.0-19.0-2.0","37247","1B","conjoined","woman","","","M4 and W2 are arguing with each other","argue3","rating_volition","{""Q0"":3}","[0]","W2 wanted to argue with M4","M4 wanted to argue with W2"
"null","Kate and Beth are dancing with each other","","html-keyboard-response","46","264986","0.0-20.0-0.0","37247","1B","conjoined","woman","","null","W1 and W3 are dancing with each other","dance1","sentence","","","",""
"4162","","","survey-likert-extra-labels","47","269150","0.0-20.0-1.0-0.0","37247","1B","conjoined","woman","","","W1 and W3 are dancing with each other","dance1","rating_causation","{""Q0"":3}","[0]","W1 asked W3 to dance","W3 asked W1 to dance"
"2626.000000000058","","","survey-likert-extra-labels","48","271778","0.0-20.0-2.0","37247","1B","conjoined","woman","","","W1 and W3 are dancing with each other","dance1","rating_volition","{""Q0"":3}","[0]","W1 wanted to dance with W3","W3 wanted to dance with W1"
"null","Jane and Luke are kissing each other","","html-keyboard-response","49","273780","0.0-21.0-0.0","37247","1B","conjoined","woman","","null","W4 and M2 are kissing each other","kiss3","sentence","","","",""
"1550.0000000000582","","","survey-likert-extra-labels","50","275331","0.0-21.0-1.0-0.0","37247","1B","conjoined","woman","","","W4 and M2 are kissing each other","kiss3","rating_causation","{""Q0"":4}","[0]","M2 asked to kiss W4","W4 asked to kiss M2"
"1972","","","survey-likert-extra-labels","51","277305","0.0-21.0-2.0","37247","1B","conjoined","woman","","","W4 and M2 are kissing each other","kiss3","rating_volition","{""Q0"":2}","[0]","M2 wanted to kiss W4","W4 wanted to kiss M2"
"null","Dave and Fred are arguing with each other","","html-keyboard-response","52","279308","0.0-22.0-0.0","37247","1B","conjoined","woman","","null","M3 and M1 are arguing with each other","argue2","sentence","","","",""
"2203","","","survey-likert-extra-labels","53","281512","0.0-22.0-2.0","37247","1B","conjoined","woman","","","M3 and M1 are arguing with each other","argue2","rating_volition","{""Q0"":0}","[0]","M1 wanted to argue with M3","M3 wanted to argue with M1"
"4522","","","survey-likert-extra-labels","54","286036","0.0-22.0-3.0-0.0","37247","1B","conjoined","woman","","","M3 and M1 are arguing with each other","argue2","rating_causation","{""Q0"":0}","[0]","M1 started an argument with M3","M3 started an argument with M1"
"null","Luke and Mike are playing with each other","","html-keyboard-response","55","288039","0.0-23.0-0.0","37247","1B","conjoined","woman","","null","M2 and M4 are playing with each other","play2","sentence","","","",""
"1377.9999999999418","","","survey-likert-extra-labels","56","289418","0.0-23.0-1.0-0.0","37247","1B","conjoined","woman","","","M2 and M4 are playing with each other","play2","rating_causation","{""Q0"":3}","[0]","M2 asked to play with M4","M4 asked to play with M2"
"1492","","","survey-likert-extra-labels","57","290911","0.0-23.0-2.0","37247","1B","conjoined","woman","","","M2 and M4 are playing with each other","play2","rating_volition","{""Q0"":3}","[0]","M2 wanted to play with M4","M4 wanted to play with M2"
"null","Beth and Kate are arguing with each other","","html-keyboard-response","58","292913","0.0-24.0-0.0","37247","1B","conjoined","woman","","null","W3 and W1 are arguing with each other","argue1","sentence","","","",""
"90702.99999999994","","","survey-likert-extra-labels","59","383615","0.0-24.0-2.0","37247","1B","conjoined","woman","","","W3 and W1 are arguing with each other","argue1","rating_volition","{""Q0"":3}","[0]","W1 wanted to argue with W3","W3 wanted to argue with W1"
"1764","","","survey-likert-extra-labels","60","385381","0.0-24.0-3.0-0.0","37247","1B","conjoined","woman","","","W3 and W1 are arguing with each other","argue1","rating_causation","{""Q0"":3}","[0]","W1 started an argument with W3","W3 started an argument with W1"
"null","Luke and Mike are flirting with each other","","html-keyboard-response","61","387384","0.0-25.0-0.0","37247","1B","conjoined","woman","","null","M2 and M4 are flirting with each other","flirt2","sentence","","","",""
"4032","","","survey-likert-extra-labels","62","391417","0.0-25.0-1.0-0.0","37247","1B","conjoined","woman","","","M2 and M4 are flirting with each other","flirt2","rating_causation","{""Q0"":2}","[0]","M2 started flirting with M4 first","M4 started flirting with M2 first"
"3023","","","survey-likert-extra-labels","63","394442","0.0-25.0-2.0","37247","1B","conjoined","woman","","","M2 and M4 are flirting with each other","flirt2","rating_volition","{""Q0"":2}","[0]","M2 wanted to flirt with M4","M4 wanted to flirt with M2"
"null","Kate and Dave are fighting each other","","html-keyboard-response","64","396444","0.0-26.0-0.0","37247","1B","conjoined","woman","","null","W1 and M3 are fighting each other","fight4","sentence","","","",""
"1898","","","survey-likert-extra-labels","65","398344","0.0-26.0-1.0-0.0","37247","1B","conjoined","woman","","","W1 and M3 are fighting each other","fight4","rating_causation","{""Q0"":1}","[0]","M3 started the fight with W1","W1 started the fight with M3"
"1752","","","survey-likert-extra-labels","66","400098","0.0-26.0-2.0","37247","1B","conjoined","woman","","","W1 and M3 are fighting each other","fight4","rating_volition","{""Q0"":1}","[0]","M3 wanted to fight W1","W1 wanted to fight M3"
"null","Kate and Beth are talking to each other","","html-keyboard-response","67","402100","0.0-27.0-0.0","37247","1B","conjoined","woman","","null","W1 and W3 are talking to each other","talk1","sentence","","","",""
"2093.999999999942","","","survey-likert-extra-labels","68","404196","0.0-27.0-2.0","37247","1B","conjoined","woman","","","W1 and W3 are talking to each other","talk1","rating_volition","{""Q0"":1}","[0]","W1 wanted to talk to W3","W3 wanted to talk to W1"
"1625.9999999999418","","","survey-likert-extra-labels","69","405823","0.0-27.0-3.0-0.0","37247","1B","conjoined","woman","","","W1 and W3 are talking to each other","talk1","rating_causation","{""Q0"":1}","[0]","W1 started a conversation with W3","W3 started a conversation with W1"
"null","Fred and Dave are talking to each other","","html-keyboard-response","70","407825","0.0-28.0-0.0","37247","1B","conjoined","woman","","null","M1 and M3 are talking to each other","talk2","sentence","","","",""
"1795","","","survey-likert-extra-labels","71","409622","0.0-28.0-2.0","37247","1B","conjoined","woman","","","M1 and M3 are talking to each other","talk2","rating_volition","{""Q0"":0}","[0]","M1 wanted to talk to M3","M3 wanted to talk to M1"
"1976","","","survey-likert-extra-labels","72","411599","0.0-28.0-3.0-0.0","37247","1B","conjoined","woman","","","M1 and M3 are talking to each other","talk2","rating_causation","{""Q0"":0}","[0]","M1 started a conversation with M3","M3 started a conversation with M1"
"null","Dave and Fred are kissing each other","","html-keyboard-response","73","413602","0.0-29.0-0.0","37247","1B","conjoined","woman","","null","M3 and M1 are kissing each other","kiss2","sentence","","","",""
"1884","","","survey-likert-extra-labels","74","415487","0.0-29.0-1.0-0.0","37247","1B","conjoined","woman","","","M3 and M1 are kissing each other","kiss2","rating_causation","{""Q0"":0}","[0]","M1 asked to kiss M3","M3 asked to kiss M1"
"2892","","","survey-likert-extra-labels","75","418381","0.0-29.0-2.0","37247","1B","conjoined","woman","","","M3 and M1 are kissing each other","kiss2","rating_volition","{""Q0"":6}","[0]","M1 wanted to kiss M3","M3 wanted to kiss M1"
"null","Luke and Jane are dancing with each other","","html-keyboard-response","76","420383","0.0-30.0-0.0","37247","1B","conjoined","woman","","null","M2 and W4 are dancing with each other","dance4","sentence","","","",""
"1509","","","survey-likert-extra-labels","77","421894","0.0-30.0-2.0","37247","1B","conjoined","woman","","","M2 and W4 are dancing with each other","dance4","rating_volition","{""Q0"":3}","[0]","M2 wanted to dance with W4","W4 wanted to dance with M2"
"1357","","","survey-likert-extra-labels","78","423253","0.0-30.0-3.0-0.0","37247","1B","conjoined","woman","","","M2 and W4 are dancing with each other","dance4","rating_causation","{""Q0"":3}","[0]","M2 asked W4 to dance","W4 asked M2 to dance"
"null","Luke and Mike are touching each other","","html-keyboard-response","79","425256","0.0-31.0-0.0","37247","1B","conjoined","woman","","null","M2 and M4 are touching each other","touch2","sentence","","","",""
"2296.999999999942","","","survey-likert-extra-labels","80","427554","0.0-31.0-2.0","37247","1B","conjoined","woman","","","M2 and M4 are touching each other","touch2","rating_volition","{""Q0"":3}","[0]","M2 wanted to touch M4","M4 wanted to touch M2"
"1936","","","survey-likert-extra-labels","81","429492","0.0-31.0-3.0-0.0","37247","1B","conjoined","woman","","","M2 and M4 are touching each other","touch2","rating_causation","{""Q0"":3}","[0]","M2 asked to touch M4","M4 asked to touch M2"
"null","Mike and Ruth are kissing each other","","html-keyboard-response","82","431494","0.0-32.0-0.0","37247","1B","conjoined","woman","","null","M4 and W2 are kissing each other","kiss4","sentence","","","",""
"2523","","","survey-likert-extra-labels","83","434019","0.0-32.0-2.0","37247","1B","conjoined","woman","","","M4 and W2 are kissing each other","kiss4","rating_volition","{""Q0"":3}","[0]","W2 wanted to kiss M4","M4 wanted to kiss W2"
"1937","","","survey-likert-extra-labels","84","435958","0.0-32.0-3.0-0.0","37247","1B","conjoined","woman","","","M4 and W2 are kissing each other","kiss4","rating_causation","{""Q0"":3}","[0]","W2 asked to kiss M4","M4 asked to kiss W2"
"null","Ruth and Mike are dancing with each other","","html-keyboard-response","85","437961","0.0-33.0-0.0","37247","1B","conjoined","woman","","null","W2 and M4 are dancing with each other","dance3","sentence","","","",""
"1592","","","survey-likert-extra-labels","86","439554","0.0-33.0-2.0","37247","1B","conjoined","woman","","","W2 and M4 are dancing with each other","dance3","rating_volition","{""Q0"":3}","[0]","W2 wanted to dance with M4","M4 wanted to dance with W2"
"2308","","","survey-likert-extra-labels","87","441864","0.0-33.0-3.0-0.0","37247","1B","conjoined","woman","","","W2 and M4 are dancing with each other","dance3","rating_causation","{""Q0"":3}","[0]","W2 asked M4 to dance","M4 asked W2 to dance"
"null","Fred is driving Dave","","html-keyboard-response","88","443867","0.0-34.0-0.0","37247","1B","conjoined","woman","","null","M1 is driving M3","drive","sentence","","","",""
"13765","","","survey-likert-extra-labels","89","457634","0.0-34.0-1.0-0.0","37247","1B","conjoined","woman","","","M1 is driving M3","drive","rating_causation","{""Q0"":3}","[0]","M3 is taking M1 somewhere","M1 is taking M3 somewhere"
"1803","","","survey-likert-extra-labels","90","459439","0.0-34.0-2.0","37247","1B","conjoined","woman","","","M1 is driving M3","drive","rating_volition","{""Q0"":3}","[0]","M3 is M1's passenger","M1 is M3's passenger"
"null","Beth and Kate are kissing each other","","html-keyboard-response","91","461442","0.0-35.0-0.0","37247","1B","conjoined","woman","","null","W3 and W1 are kissing each other","kiss1","sentence","","","",""
