"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","condition","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"3081.164999981411","","","survey-likert-extra-labels","35","161619","0.0-16.0-2.0","2162","1A","conjoined","woman","","","W1 and M3 are marrying each other","marry3","rating_volition","{""Q0"":0}","[0]","M3 wanted to marry W1","W1 wanted to marry M3"
"3378.1350000062957","","","survey-likert-extra-labels","36","165003","0.0-16.0-3.0-0.0","2162","1A","conjoined","woman","","","W1 and M3 are marrying each other","marry3","rating_causation","{""Q0"":0}","[0]","M3 asked to marry W1","W1 asked to marry M3"
"null","Fred and Luke are arguing with each other","","html-keyboard-response","37","167009","0.0-17.0-0.0","2162","1A","conjoined","woman","","null","M3 and M1 are arguing with each other","argue2","sentence","","","",""
"3816.950000007637","","","survey-likert-extra-labels","38","170830","0.0-17.0-2.0","2162","1A","conjoined","woman","","","M3 and M1 are arguing with each other","argue2","rating_volition","{""Q0"":0}","[0]","M1 wanted to argue with M3","M3 wanted to argue with M1"
"2618.49500000244","","","survey-likert-extra-labels","39","173454","0.0-17.0-3.0-0.0","2162","1A","conjoined","woman","","","M3 and M1 are arguing with each other","argue2","rating_causation","{""Q0"":6}","[0]","M1 started an argument with M3","M3 started an argument with M1"
"null","Mike and Beth are talking to each other","","html-keyboard-response","40","175460","0.0-18.0-0.0","2162","1A","conjoined","woman","","null","M2 and W4 are talking to each other","talk4","sentence","","","",""
"3140.160000009928","","","survey-likert-extra-labels","41","178603","0.0-18.0-1.0-0.0","2162","1A","conjoined","woman","","","M2 and W4 are talking to each other","talk4","rating_causation","{""Q0"":0}","[0]","M2 started a conversation with W4","W4 started a conversation with M2"
"4535.135000012815","","","survey-likert-extra-labels","42","183143","0.0-18.0-2.0","2162","1A","conjoined","woman","","","M2 and W4 are talking to each other","talk4","rating_volition","{""Q0"":6}","[0]","M2 wanted to talk to W4","W4 wanted to talk to M2"
"null","Beth and Mike are arguing with each other","","html-keyboard-response","43","185147","0.0-19.0-0.0","2162","1A","conjoined","woman","","null","W4 and M2 are arguing with each other","argue4","sentence","","","",""
"3026.860000041779","","","survey-likert-extra-labels","44","188178","0.0-19.0-1.0-0.0","2162","1A","conjoined","woman","","","W4 and M2 are arguing with each other","argue4","rating_causation","{""Q0"":0}","[0]","M2 started an argument with W4","W4 started an argument with M2"
"2334.855000022799","","","survey-likert-extra-labels","45","190519","0.0-19.0-2.0","2162","1A","conjoined","woman","","","W4 and M2 are arguing with each other","argue4","rating_volition","{""Q0"":6}","[0]","M2 wanted to argue with W4","W4 wanted to argue with M2"
"null","Luke and Kate are marrying each other","","html-keyboard-response","46","192524","0.0-20.0-0.0","2162","1A","conjoined","woman","","null","M1 and W3 are marrying each other","marry4","sentence","","","",""
"3891.0399999585934","","","survey-likert-extra-labels","47","196419","0.0-20.0-2.0","2162","1A","conjoined","woman","","","M1 and W3 are marrying each other","marry4","rating_volition","{""Q0"":0}","[0]","W3 wanted to marry M1","M1 wanted to marry W3"
"2390.3700000373647","","","survey-likert-extra-labels","48","198815","0.0-20.0-3.0-0.0","2162","1A","conjoined","woman","","","M1 and W3 are marrying each other","marry4","rating_causation","{""Q0"":6}","[0]","W3 asked to marry M1","M1 asked to marry W3"
"null","Jane and Dave are dancing with each other","","html-keyboard-response","49","200824","0.0-21.0-0.0","2162","1A","conjoined","woman","","null","W2 and M4 are dancing with each other","dance3","sentence","","","",""
"3476.7049999791197","","","survey-likert-extra-labels","50","204304","0.0-21.0-2.0","2162","1A","conjoined","woman","","","W2 and M4 are dancing with each other","dance3","rating_volition","{""Q0"":0}","[0]","W2 wanted to dance with M4","M4 wanted to dance with W2"
"3920.624999969732","","","survey-likert-extra-labels","51","208230","0.0-21.0-3.0-0.0","2162","1A","conjoined","woman","","","W2 and M4 are dancing with each other","dance3","rating_causation","{""Q0"":6}","[0]","W2 asked M4 to dance","M4 asked W2 to dance"
"null","Mike and Dave are flirting with each other","","html-keyboard-response","52","210236","0.0-22.0-0.0","2162","1A","conjoined","woman","","null","M2 and M4 are flirting with each other","flirt2","sentence","","","",""
"7389.270000043325","","","survey-likert-extra-labels","53","217629","0.0-22.0-2.0","2162","1A","conjoined","woman","","","M2 and M4 are flirting with each other","flirt2","rating_volition","{""Q0"":0}","[0]","M2 wanted to flirt with M4","M4 wanted to flirt with M2"
"2510.1399999693967","","","survey-likert-extra-labels","54","220146","0.0-22.0-3.0-0.0","2162","1A","conjoined","woman","","","M2 and M4 are flirting with each other","flirt2","rating_causation","{""Q0"":5}","[0]","M2 started flirting with M4 first","M4 started flirting with M2 first"
"null","Ruth and Kate are dancing with each other","","html-keyboard-response","55","222150","0.0-23.0-0.0","2162","1A","conjoined","woman","","null","W1 and W3 are dancing with each other","dance1","sentence","","","",""
"3599.739999976009","","","survey-likert-extra-labels","56","225753","0.0-23.0-2.0","2162","1A","conjoined","woman","","","W1 and W3 are dancing with each other","dance1","rating_volition","{""Q0"":0}","[0]","W1 wanted to dance with W3","W3 wanted to dance with W1"
"4426.780000037979","","","survey-likert-extra-labels","57","230187","0.0-23.0-3.0-0.0","2162","1A","conjoined","woman","","","W1 and W3 are dancing with each other","dance1","rating_causation","{""Q0"":6}","[0]","W1 asked W3 to dance","W3 asked W1 to dance"
"null","Fred is hiring Ruth","","html-keyboard-response","58","232194","0.0-24.0-0.0","2162","1A","conjoined","woman","","null","M3 is hiring W1","hire","sentence","","","",""
"4747.1650000079535","","","survey-likert-extra-labels","59","236948","0.0-24.0-1.0-0.0","2162","1A","conjoined","woman","","","M3 is hiring W1","hire","rating_causation","{""Q0"":6}","[0]","M3 will work for W1","W1 will work for M3"
"8608.670000045095","","","survey-likert-extra-labels","60","245562","0.0-24.0-2.0","2162","1A","conjoined","woman","","","M3 is hiring W1","hire","rating_volition","{""Q0"":0}","[0]","M3 is employing W1","W1 is employing M3"
"null","Dave and Jane are kissing each other","","html-keyboard-response","61","247568","0.0-25.0-0.0","2162","1A","conjoined","woman","","null","M4 and W2 are kissing each other","kiss4","sentence","","","",""
"2880.1450000028126","","","survey-likert-extra-labels","62","250452","0.0-25.0-2.0","2162","1A","conjoined","woman","","","M4 and W2 are kissing each other","kiss4","rating_volition","{""Q0"":0}","[0]","W2 wanted to kiss M4","M4 wanted to kiss W2"
"2416.1500000045635","","","survey-likert-extra-labels","63","252874","0.0-25.0-3.0-0.0","2162","1A","conjoined","woman","","","M4 and W2 are kissing each other","kiss4","rating_causation","{""Q0"":6}","[0]","W2 asked to kiss M4","M4 asked to kiss W2"
"null","Mike and Beth are shouting at each other","","html-keyboard-response","64","254880","0.0-26.0-0.0","2162","1A","conjoined","woman","","null","M2 and W4 are shouting at each other","shout3","sentence","","","",""
"2811.2099999561906","","","survey-likert-extra-labels","65","257695","0.0-26.0-1.0-0.0","2162","1A","conjoined","woman","","","M2 and W4 are shouting at each other","shout3","rating_causation","{""Q0"":0}","[0]","M2 shouted at W4 first","W4 shouted at M2 first"
"1979.399999952875","","","survey-likert-extra-labels","66","259681","0.0-26.0-2.0","2162","1A","conjoined","woman","","","M2 and W4 are shouting at each other","shout3","rating_volition","{""Q0"":6}","[0]","M2 wanted to shout at W4","W4 wanted to shout at M2"
"null","Jane and Beth are flirting with each other","","html-keyboard-response","67","261685","0.0-27.0-0.0","2162","1A","conjoined","woman","","null","W2 and W4 are flirting with each other","flirt1","sentence","","","",""
"2737.970000016503","","","survey-likert-extra-labels","68","264427","0.0-27.0-2.0","2162","1A","conjoined","woman","","","W2 and W4 are flirting with each other","flirt1","rating_volition","{""Q0"":0}","[0]","W2 wanted to flirt with W4","W4 wanted to flirt with W2"
"2351.6949999611825","","","survey-likert-extra-labels","69","266789","0.0-27.0-3.0-0.0","2162","1A","conjoined","woman","","","W2 and W4 are flirting with each other","flirt1","rating_causation","{""Q0"":6}","[0]","W2 started flirting with W4 first","W4 started flirting with W2 first"
"null","Kate is feeding Luke","","html-keyboard-response","70","268793","0.0-28.0-0.0","2162","1A","conjoined","woman","","null","W3 is feeding M1","feed","sentence","","","",""
"6165.015000035055","","","survey-likert-extra-labels","71","274963","0.0-28.0-1.0-0.0","2162","1A","conjoined","woman","","","W3 is feeding M1","feed","rating_causation","{""Q0"":6}","[0]","W3 is eating M1's food","M1 is eating W3's food"
"5849.824999982957","","","survey-likert-extra-labels","72","280820","0.0-28.0-2.0","2162","1A","conjoined","woman","","","W3 is feeding M1","feed","rating_volition","{""Q0"":0}","[0]","W3 is giving M1 food","M1 is giving W3 food"
