"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","condition","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"16628","","","survey-likert-extra-labels","36","557225","0.0-16.0-2.0","37336","1B","conjoined","man","","","M1 and M3 are shouting at each other","shout2","rating_volition","{""Q0"":2}","[0]","M1 wanted to shout at M3","M3 wanted to shout at M1"
"null","Ruth and Jane are flirting with each other","","html-keyboard-response","37","559230","0.0-17.0-0.0","37336","1B","conjoined","man","","null","W2 and W4 are flirting with each other","flirt1","sentence","","","",""
"9220","","","survey-likert-extra-labels","38","568456","0.0-17.0-2.0","37336","1B","conjoined","man","","","W2 and W4 are flirting with each other","flirt1","rating_volition","{""Q0"":2}","[0]","W2 wanted to flirt with W4","W4 wanted to flirt with W2"
"15143","","","survey-likert-extra-labels","39","583604","0.0-17.0-3.0-0.0","37336","1B","conjoined","man","","","W2 and W4 are flirting with each other","flirt1","rating_causation","{""Q0"":1}","[0]","W2 started flirting with W4 first","W4 started flirting with W2 first"
"null","Luke and Mike are touching each other","","html-keyboard-response","40","585608","0.0-18.0-0.0","37336","1B","conjoined","man","","null","M2 and M4 are touching each other","touch2","sentence","","","",""
"14853.999999999884","","","survey-likert-extra-labels","41","600466","0.0-18.0-2.0","37336","1B","conjoined","man","","","M2 and M4 are touching each other","touch2","rating_volition","{""Q0"":1}","[0]","M2 wanted to touch M4","M4 wanted to touch M2"
"8164","","","survey-likert-extra-labels","42","608634","0.0-18.0-3.0-0.0","37336","1B","conjoined","man","","","M2 and M4 are touching each other","touch2","rating_causation","{""Q0"":1}","[0]","M2 asked to touch M4","M4 asked to touch M2"
"null","Jane and Luke are arguing with each other","","html-keyboard-response","43","610638","0.0-19.0-0.0","37336","1B","conjoined","man","","null","W4 and M2 are arguing with each other","argue4","sentence","","","",""
"8278","","","survey-likert-extra-labels","44","618921","0.0-19.0-2.0","37336","1B","conjoined","man","","","W4 and M2 are arguing with each other","argue4","rating_volition","{""Q0"":5}","[0]","M2 wanted to argue with W4","W4 wanted to argue with M2"
"11200","","","survey-likert-extra-labels","45","630125","0.0-19.0-3.0-0.0","37336","1B","conjoined","man","","","W4 and M2 are arguing with each other","argue4","rating_causation","{""Q0"":4}","[0]","M2 started an argument with W4","W4 started an argument with M2"
"null","Beth is feeding Fred","","html-keyboard-response","46","632130","0.0-20.0-0.0","37336","1B","conjoined","man","","null","W3 is feeding M1","feed","sentence","","","",""
"14819","","","survey-likert-extra-labels","47","646954","0.0-20.0-2.0","37336","1B","conjoined","man","","","W3 is feeding M1","feed","rating_volition","{""Q0"":0}","[0]","W3 is giving M1 food","M1 is giving W3 food"
"27372","","","survey-likert-extra-labels","48","674330","0.0-20.0-3.0-0.0","37336","1B","conjoined","man","","","W3 is feeding M1","feed","rating_causation","{""Q0"":6}","[0]","W3 is eating M1's food","M1 is eating W3's food"
"null","Jane and Ruth are fighting each other","","html-keyboard-response","49","676333","0.0-21.0-0.0","37336","1B","conjoined","man","","null","W4 and W2 are fighting each other","fight1","sentence","","","",""
"9502","","","survey-likert-extra-labels","50","685839","0.0-21.0-2.0","37336","1B","conjoined","man","","","W4 and W2 are fighting each other","fight1","rating_volition","{""Q0"":5}","[0]","W2 wanted to fight W4","W4 wanted to fight W2"
"8704","","","survey-likert-extra-labels","51","694549","0.0-21.0-3.0-0.0","37336","1B","conjoined","man","","","W4 and W2 are fighting each other","fight1","rating_causation","{""Q0"":5}","[0]","W2 started the fight with W4","W4 started the fight with W2"
"null","Fred and Dave are talking to each other","","html-keyboard-response","52","696553","0.0-22.0-0.0","37336","1B","conjoined","man","","null","M1 and M3 are talking to each other","talk2","sentence","","","",""
"7871","","","survey-likert-extra-labels","53","704428","0.0-22.0-1.0-0.0","37336","1B","conjoined","man","","","M1 and M3 are talking to each other","talk2","rating_causation","{""Q0"":1}","[0]","M1 started a conversation with M3","M3 started a conversation with M1"
"107986","","","survey-likert-extra-labels","54","812417","0.0-22.0-2.0","37336","1B","conjoined","man","","","M1 and M3 are talking to each other","talk2","rating_volition","{""Q0"":1}","[0]","M1 wanted to talk to M3","M3 wanted to talk to M1"
"null","Fred and Dave are dancing with each other","","html-keyboard-response","55","814419","0.0-23.0-0.0","37336","1B","conjoined","man","","null","M1 and M3 are dancing with each other","dance2","sentence","","","",""
"15448.000000000116","","","survey-likert-extra-labels","56","829875","0.0-23.0-1.0-0.0","37336","1B","conjoined","man","","","M1 and M3 are dancing with each other","dance2","rating_causation","{""Q0"":1}","[0]","M1 asked M3 to dance","M3 asked M1 to dance"
"14868","","","survey-likert-extra-labels","57","844748","0.0-23.0-2.0","37336","1B","conjoined","man","","","M1 and M3 are dancing with each other","dance2","rating_volition","{""Q0"":1}","[0]","M1 wanted to dance with M3","M3 wanted to dance with M1"
"null","Luke is posing for Mike","","html-keyboard-response","58","846753","0.0-24.0-0.0","37336","1B","conjoined","man","","null","M2 is posing for M4","pose","sentence","","","",""
"17130","","","survey-likert-extra-labels","59","863887","0.0-24.0-2.0","37336","1B","conjoined","man","","","M2 is posing for M4","pose","rating_volition","{""Q0"":0}","[0]","M2 is modelling for M4","M4 is modelling for M2"
"17083.000000000116","","","survey-likert-extra-labels","60","880975","0.0-24.0-3.0-0.0","37336","1B","conjoined","man","","","M2 is posing for M4","pose","rating_causation","{""Q0"":0}","[0]","M2 is photographing M4","M4 is photographing M2"
"null","Jane and Luke are kissing each other","","html-keyboard-response","61","882978","0.0-25.0-0.0","37336","1B","conjoined","man","","null","W4 and M2 are kissing each other","kiss3","sentence","","","",""
"14502.000000000116","","","survey-likert-extra-labels","62","897487","0.0-25.0-1.0-0.0","37336","1B","conjoined","man","","","W4 and M2 are kissing each other","kiss3","rating_causation","{""Q0"":3}","[0]","M2 asked to kiss W4","W4 asked to kiss M2"
"14187","","","survey-likert-extra-labels","63","911679","0.0-25.0-2.0","37336","1B","conjoined","man","","","W4 and M2 are kissing each other","kiss3","rating_volition","{""Q0"":3}","[0]","M2 wanted to kiss W4","W4 wanted to kiss M2"
"null","Kate and Dave are fighting each other","","html-keyboard-response","64","913682","0.0-26.0-0.0","37336","1B","conjoined","man","","null","W1 and M3 are fighting each other","fight4","sentence","","","",""
"20395","","","survey-likert-extra-labels","65","934081","0.0-26.0-2.0","37336","1B","conjoined","man","","","W1 and M3 are fighting each other","fight4","rating_volition","{""Q0"":3}","[0]","M3 wanted to fight W1","W1 wanted to fight M3"
"11571","","","survey-likert-extra-labels","66","945659","0.0-26.0-3.0-0.0","37336","1B","conjoined","man","","","W1 and M3 are fighting each other","fight4","rating_causation","{""Q0"":3}","[0]","M3 started the fight with W1","W1 started the fight with M3"
"null","Beth and Kate are kissing each other","","html-keyboard-response","67","947662","0.0-27.0-0.0","37336","1B","conjoined","man","","null","W3 and W1 are kissing each other","kiss1","sentence","","","",""
"11768.000000000116","","","survey-likert-extra-labels","68","959434","0.0-27.0-1.0-0.0","37336","1B","conjoined","man","","","W3 and W1 are kissing each other","kiss1","rating_causation","{""Q0"":3}","[0]","W1 asked to kiss W3","W3 asked to kiss W1"
"22100","","","survey-likert-extra-labels","69","981539","0.0-27.0-2.0","37336","1B","conjoined","man","","","W3 and W1 are kissing each other","kiss1","rating_volition","{""Q0"":3}","[0]","W1 wanted to kiss W3","W3 wanted to kiss W1"
"null","Mike and Ruth are kissing each other","","html-keyboard-response","70","983543","0.0-28.0-0.0","37336","1B","conjoined","man","","null","M4 and W2 are kissing each other","kiss4","sentence","","","",""
"20154","","","survey-likert-extra-labels","71","1003701","0.0-28.0-1.0-0.0","37336","1B","conjoined","man","","","M4 and W2 are kissing each other","kiss4","rating_causation","{""Q0"":3}","[0]","W2 asked to kiss M4","M4 asked to kiss W2"
"13642.999999999884","","","survey-likert-extra-labels","72","1017350","0.0-28.0-2.0","37336","1B","conjoined","man","","","M4 and W2 are kissing each other","kiss4","rating_volition","{""Q0"":3}","[0]","W2 wanted to kiss M4","M4 wanted to kiss W2"
"null","Fred and Beth are fighting each other","","html-keyboard-response","73","1019355","0.0-29.0-0.0","37336","1B","conjoined","man","","null","M1 and W3 are fighting each other","fight3","sentence","","","",""
"12342.999999999884","","","survey-likert-extra-labels","74","1031703","0.0-29.0-2.0","37336","1B","conjoined","man","","","M1 and W3 are fighting each other","fight3","rating_volition","{""Q0"":5}","[0]","W3 wanted to fight M1","M1 wanted to fight W3"
"8373","","","survey-likert-extra-labels","75","1040083","0.0-29.0-3.0-0.0","37336","1B","conjoined","man","","","M1 and W3 are fighting each other","fight3","rating_causation","{""Q0"":5}","[0]","W3 started the fight with M1","M1 started the fight with W3"
"null","Beth and Fred are touching each other","","html-keyboard-response","76","1042087","0.0-30.0-0.0","37336","1B","conjoined","man","","null","W3 and M1 are touching each other","touch3","sentence","","","",""
"10409.000000000233","","","survey-likert-extra-labels","77","1052502","0.0-30.0-1.0-0.0","37336","1B","conjoined","man","","","W3 and M1 are touching each other","touch3","rating_causation","{""Q0"":3}","[0]","W3 asked to touch M1","M1 asked to touch W3"
"10846","","","survey-likert-extra-labels","78","1063352","0.0-30.0-2.0","37336","1B","conjoined","man","","","W3 and M1 are touching each other","touch3","rating_volition","{""Q0"":4}","[0]","W3 wanted to touch M1","M1 wanted to touch W3"
"null","Jane and Ruth are marrying each other","","html-keyboard-response","79","1065356","0.0-31.0-0.0","37336","1B","conjoined","man","","null","W4 and W2 are marrying each other","marry1","sentence","","","",""
"12477.000000000233","","","survey-likert-extra-labels","80","1077837","0.0-31.0-1.0-0.0","37336","1B","conjoined","man","","","W4 and W2 are marrying each other","marry1","rating_causation","{""Q0"":3}","[0]","W2 asked to marry W4","W4 asked to marry W2"
