rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,condition,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part
4660,,,survey-likert-extra-labels,53,244893,0.0-22.0-1.0-0.0,63043,4B,conjoined,woman,,,M1 is touching W3,touch3,rating_causation,"{""Q0"":0}",[0],M1 asked to touch W3,W3 asked to touch M1
6716,,,survey-likert-extra-labels,54,251611,0.0-22.0-2.0,63043,4B,conjoined,woman,,,M1 is touching W3,touch3,rating_volition,"{""Q0"":0}",[0],M1 wanted to touch W3,W3 wanted to touch M1
null,Fred is flirting with Beth,,html-keyboard-response,55,253616,0.0-23.0-0.0,63043,4B,conjoined,woman,,null,M1 is flirting with W3,flirt3,sentence,,,,
3616,,,survey-likert-extra-labels,56,257234,0.0-23.0-2.0,63043,4B,conjoined,woman,,,M1 is flirting with W3,flirt3,rating_volition,"{""Q0"":0}",[0],M1 wanted to flirt with W3,W3 wanted to flirt with M1
2757,,,survey-likert-extra-labels,57,259994,0.0-23.0-3.0-0.0,63043,4B,conjoined,woman,,,M1 is flirting with W3,flirt3,rating_causation,"{""Q0"":0}",[0],M1 started flirting with W3 first,W3 started flirting with M1 first
null,Mike is talking to Ruth,,html-keyboard-response,58,261998,0.0-24.0-0.0,63043,4B,conjoined,woman,,null,M4 is talking to W2,talk3,sentence,,,,
6651,,,survey-likert-extra-labels,59,268650,0.0-24.0-2.0,63043,4B,conjoined,woman,,,M4 is talking to W2,talk3,rating_volition,"{""Q0"":0}",[0],M4 wanted to talk to W2,W2 wanted to talk to M4
5731,,,survey-likert-extra-labels,60,274384,0.0-24.0-3.0-0.0,63043,4B,conjoined,woman,,,M4 is talking to W2,talk3,rating_causation,"{""Q0"":0}",[0],M4 started a conversation with W2,W2 started a conversation with M4
null,Dave is talking to Fred,,html-keyboard-response,61,276388,0.0-25.0-0.0,63043,4B,conjoined,woman,,null,M3 is talking to M1,talk2,sentence,,,,
5975,,,survey-likert-extra-labels,62,282365,0.0-25.0-1.0-0.0,63043,4B,conjoined,woman,,,M3 is talking to M1,talk2,rating_causation,"{""Q0"":0}",[0],M3 started a conversation with M1,M1 started a conversation with M3
2336,,,survey-likert-extra-labels,63,284704,0.0-25.0-2.0,63043,4B,conjoined,woman,,,M3 is talking to M1,talk2,rating_volition,"{""Q0"":0}",[0],M3 wanted to talk to M1,M1 wanted to talk to M3
null,Dave is kissing Fred,,html-keyboard-response,64,286708,0.0-26.0-0.0,63043,4B,conjoined,woman,,null,M3 is kissing M1,kiss2,sentence,,,,
2944,,,survey-likert-extra-labels,65,289654,0.0-26.0-1.0-0.0,63043,4B,conjoined,woman,,,M3 is kissing M1,kiss2,rating_causation,"{""Q0"":0}",[0],M3 asked to kiss M1,M1 asked to kiss M3
2446,,,survey-likert-extra-labels,66,292102,0.0-26.0-2.0,63043,4B,conjoined,woman,,,M3 is kissing M1,kiss2,rating_volition,"{""Q0"":0}",[0],M3 wanted to kiss M1,M1 wanted to kiss M3
null,Beth is feeding Fred,,html-keyboard-response,67,294106,0.0-27.0-0.0,63043,4B,conjoined,woman,,null,W3 is feeding M1,feed,sentence,,,,
7161,,,survey-likert-extra-labels,68,301269,0.0-27.0-1.0-0.0,63043,4B,conjoined,woman,,,W3 is feeding M1,feed,rating_causation,"{""Q0"":6}",[0],W3 is eating M1's food,M1 is eating W3's food
5901,,,survey-likert-extra-labels,69,307173,0.0-27.0-2.0,63043,4B,conjoined,woman,,,W3 is feeding M1,feed,rating_volition,"{""Q0"":0}",[0],W3 is giving M1 food,M1 is giving W3 food
null,Fred is marrying Beth,,html-keyboard-response,70,309176,0.0-28.0-0.0,63043,4B,conjoined,woman,,null,M1 is marrying W3,marry4,sentence,,,,
5322,,,survey-likert-extra-labels,71,314500,0.0-28.0-1.0-0.0,63043,4B,conjoined,woman,,,M1 is marrying W3,marry4,rating_causation,"{""Q0"":0}",[0],M1 asked to marry W3,W3 asked to marry M1
9413,,,survey-likert-extra-labels,72,323916,0.0-28.0-2.0,63043,4B,conjoined,woman,,,M1 is marrying W3,marry4,rating_volition,"{""Q0"":0}",[0],M1 wanted to marry W3,W3 wanted to marry M1
null,Kate is flirting with Dave,,html-keyboard-response,73,325920,0.0-29.0-0.0,63043,4B,conjoined,woman,,null,W1 is flirting with M3,flirt4,sentence,,,,
5781,,,survey-likert-extra-labels,74,331702,0.0-29.0-1.0-0.0,63043,4B,conjoined,woman,,,W1 is flirting with M3,flirt4,rating_causation,"{""Q0"":0}",[0],W1 started flirting with M3 first,M3 started flirting with W1 first
2622,,,survey-likert-extra-labels,75,334326,0.0-29.0-2.0,63043,4B,conjoined,woman,,,W1 is flirting with M3,flirt4,rating_volition,"{""Q0"":0}",[0],W1 wanted to flirt with M3,M3 wanted to flirt with W1
null,Jane is touching Ruth,,html-keyboard-response,76,336330,0.0-30.0-0.0,63043,4B,conjoined,woman,,null,W4 is touching W2,touch1,sentence,,,,
3325,,,survey-likert-extra-labels,77,339657,0.0-30.0-1.0-0.0,63043,4B,conjoined,woman,,,W4 is touching W2,touch1,rating_causation,"{""Q0"":0}",[0],W4 asked to touch W2,W2 asked to touch W4
2195,,,survey-likert-extra-labels,78,341856,0.0-30.0-2.0,63043,4B,conjoined,woman,,,W4 is touching W2,touch1,rating_volition,"{""Q0"":0}",[0],W4 wanted to touch W2,W2 wanted to touch W4
null,Beth is dancing with Kate,,html-keyboard-response,79,343860,0.0-31.0-0.0,63043,4B,conjoined,woman,,null,W3 is dancing with W1,dance1,sentence,,,,
2515,,,survey-likert-extra-labels,80,346376,0.0-31.0-2.0,63043,4B,conjoined,woman,,,W3 is dancing with W1,dance1,rating_volition,"{""Q0"":0}",[0],W3 wanted to dance with W1,W1 wanted to dance with W3
4041,,,survey-likert-extra-labels,81,350420,0.0-31.0-3.0-0.0,63043,4B,conjoined,woman,,,W3 is dancing with W1,dance1,rating_causation,"{""Q0"":0}",[0],W3 asked W1 to dance,W1 asked W3 to dance
null,Mike is touching Luke,,html-keyboard-response,82,352423,0.0-32.0-0.0,63043,4B,conjoined,woman,,null,M4 is touching M2,touch2,sentence,,,,
2726,,,survey-likert-extra-labels,83,355151,0.0-32.0-1.0-0.0,63043,4B,conjoined,woman,,,M4 is touching M2,touch2,rating_causation,"{""Q0"":0}",[0],M4 asked to touch M2,M2 asked to touch M4
1800,,,survey-likert-extra-labels,84,356954,0.0-32.0-2.0,63043,4B,conjoined,woman,,,M4 is touching M2,touch2,rating_volition,"{""Q0"":0}",[0],M4 wanted to touch M2,M2 wanted to touch M4
null,Luke is playing with Mike,,html-keyboard-response,85,358957,0.0-33.0-0.0,63043,4B,conjoined,woman,,null,M2 is playing with M4,play2,sentence,,,,
