verb,list,coding,first_mention_gender
greet4,4B,regular,M1
look1,4B,reverse,W1
look2,4B,reverse,M1
look3,4B,reverse,W2
look4,4B,reverse,M2
copy1,4B,reverse,W2
copy2,4B,reverse,M2
copy3,4B,reverse,W3
copy4,4B,reverse,M3
shout1,4B,reverse,W1
shout2,4B,reverse,M1
shout3,4B,reverse,M2
shout4,4B,reverse,W2
challenge1,4B,reverse,W2
challenge2,4B,reverse,M2
challenge3,4B,reverse,M3
challenge4,4B,reverse,W3
oppose1,4B,regular,W3
oppose2,4B,regular,M3
oppose3,4B,regular,M4
oppose4,4B,regular,W4
touch1,4B,regular,W4
touch2,4B,regular,M4
touch3,4B,regular,M1
touch4,4B,regular,W1
hug1,2B,reverse,W1
hug2,2B,reverse,M1
hug3,2B,reverse,W2
hug4,2B,reverse,M2
seduce1,2B,reverse,W2
seduce2,2B,reverse,M2
seduce3,2B,reverse,W3
seduce4,2B,reverse,M3
kiss1,2B,reverse,W1
kiss2,2B,reverse,M1
kiss3,2B,reverse,M2
kiss4,2B,reverse,W2
greet1,2B,reverse,W2
greet2,2B,reverse,M2
greet3,2B,reverse,M3
greet4,2B,reverse,W3
look1,2B,regular,W3
look2,2B,regular,M3
look3,2B,regular,M4
look4,2B,regular,W4
copy1,2B,regular,W4
copy2,2B,regular,M4
copy3,2B,regular,M1
copy4,2B,regular,W1
shout1,2B,regular,W3
shout2,2B,regular,M3
shout3,2B,regular,W4
shout4,2B,regular,M4
challenge1,2B,regular,W4
challenge2,2B,regular,M4
challenge3,2B,regular,W1
challenge4,2B,regular,M1
oppose1,2B,reverse,W1
oppose2,2B,reverse,M1
oppose3,2B,reverse,W2
oppose4,2B,reverse,M2
touch1,2B,reverse,W2
touch2,2B,reverse,M2
touch3,2B,reverse,W3
touch4,2B,reverse,M3
hug1,3B,reverse,W3
hug2,3B,reverse,M3
hug3,3B,reverse,M4
hug4,3B,reverse,W4
seduce1,3B,reverse,W4
seduce2,3B,reverse,M4
seduce3,3B,reverse,M1
seduce4,3B,reverse,W1
kiss1,3B,regular,W1
kiss2,3B,regular,M1
kiss3,3B,regular,M2
kiss4,3B,regular,W2
greet1,3B,regular,W2
greet2,3B,regular,M2
greet3,3B,regular,M3
greet4,3B,regular,W3
look1,3B,regular,W1
look2,3B,regular,M1
look3,3B,regular,W2
look4,3B,regular,M2
copy1,3B,regular,W2
copy2,3B,regular,M2
copy3,3B,regular,W3
copy4,3B,regular,M3
shout1,3B,reverse,W3
shout2,3B,reverse,M3
shout3,3B,reverse,W4
shout4,3B,reverse,M4
challenge1,3B,reverse,W4
challenge2,3B,reverse,M4
challenge3,3B,reverse,W1
challenge4,3B,reverse,M1
oppose1,3B,reverse,W3
oppose2,3B,reverse,M3
oppose3,3B,reverse,M4
oppose4,3B,reverse,W4
touch1,3B,reverse,W4
touch2,3B,reverse,M4
touch3,3B,reverse,M1
touch4,3B,reverse,W1
