rt,stimulus,button_pressed,choices,ChosenStimulus,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,subject,list,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part
null,Jane is being seduced by Fred,NA,NA,NA,html-keyboard-response,40,384694,0.0-18.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,W3 is being seduced by M1,seduce3,sentence,NA,NA,NA,NA
7905,NA,NA,NA,NA,survey-likert-extra-labels,41,392600,0.0-18.0-1.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W3 is being seduced by M1,seduce3,rating_causation,"{""Q0"":5}",[0],W3 started seducing M1 first,M1 started seducing W3 first
7410,NA,NA,NA,NA,survey-likert-extra-labels,42,400009,0.0-18.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W3 is being seduced by M1,seduce3,rating_volition,"{""Q0"":6}",[0],W3 wanted to seduce M1,M1 wanted to seduce W3
null,Fred is being copied by Jane,NA,NA,NA,html-keyboard-response,43,402024,0.0-19.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,M1 is being copied by W3,copy3,sentence,NA,NA,NA,NA
8606,NA,NA,NA,NA,survey-likert-extra-labels,44,410631,0.0-19.0-1.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M1 is being copied by W3,copy3,rating_causation,"{""Q0"":1}",[0],W3 started copying M1 first,M1 started copying W3 first
14369,NA,NA,NA,NA,survey-likert-extra-labels,45,425001,0.0-19.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M1 is being copied by W3,copy3,rating_volition,"{""Q0"":1}",[0],W3 wanted to copy M1,M1 wanted to copy W3
null,Dave is being seduced by Mike,NA,NA,NA,html-keyboard-response,46,427002,0.0-20.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,M2 is being seduced by M4,seduce2,sentence,NA,NA,NA,NA
7334,NA,NA,NA,NA,survey-likert-extra-labels,47,434337,0.0-20.0-1.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M2 is being seduced by M4,seduce2,rating_causation,"{""Q0"":5}",[0],M2 started seducing M4 first,M4 started seducing M2 first
7689,NA,NA,NA,NA,survey-likert-extra-labels,48,442027,0.0-20.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M2 is being seduced by M4,seduce2,rating_volition,"{""Q0"":6}",[0],M2 wanted to seduce M4,M4 wanted to seduce M2
null,Beth is being copied by Luke,NA,NA,NA,html-keyboard-response,49,444039,0.0-21.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,W1 is being copied by M3,copy4,sentence,NA,NA,NA,NA
9066,NA,NA,NA,NA,survey-likert-extra-labels,50,453105,0.0-21.0-1.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W1 is being copied by M3,copy4,rating_causation,"{""Q0"":1}",[0],M3 started copying W1 first,W1 started copying M3 first
6357,NA,NA,NA,NA,survey-likert-extra-labels,51,459463,0.0-21.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W1 is being copied by M3,copy4,rating_volition,"{""Q0"":0}",[0],M3 wanted to copy W1,W1 wanted to copy M3
null,Jane is feeding Fred,NA,NA,NA,html-keyboard-response,52,461718,0.0-22.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,W3 is feeding M1,feed,sentence,NA,NA,NA,NA
14321,NA,NA,NA,NA,survey-likert-extra-labels,53,476040,0.0-22.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W3 is feeding M1,feed,rating_volition,"{""Q0"":2}",[0],W3 cooked for M1,M1 cooked for W3
10659,NA,NA,NA,NA,survey-likert-extra-labels,54,486700,0.0-22.0-3.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W3 is feeding M1,feed,rating_causation,"{""Q0"":5}",[0],W3 is eating M1's food,M1 is eating W3's food
null,Kate is teaching Mike,NA,NA,NA,html-keyboard-response,55,488717,0.0-23.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,W2 is teaching M4,teach,sentence,NA,NA,NA,NA
9044,NA,NA,NA,NA,survey-likert-extra-labels,56,497762,0.0-23.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W2 is teaching M4,teach,rating_volition,"{""Q0"":0}",[0],W2 is educating M4,M4 is educating W2
7603,NA,NA,NA,NA,survey-likert-extra-labels,57,505366,0.0-23.0-3.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,W2 is teaching M4,teach,rating_causation,"{""Q0"":6}",[0],W2 is learning from M4,M4 is learning from W2
null,Fred is being opposed by Luke,NA,NA,NA,html-keyboard-response,58,507379,0.0-24.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,null,M1 is being opposed by M3,oppose2,sentence,NA,NA,NA,NA
6357,NA,NA,NA,NA,survey-likert-extra-labels,59,513737,0.0-24.0-2.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M1 is being opposed by M3,oppose2,rating_volition,"{""Q0"":6}",[0],M1 wanted to oppose M3,M3 wanted to oppose M1
8228,NA,NA,NA,NA,survey-likert-extra-labels,60,521966,0.0-24.0-3.0-0.0,anomymised,656582bcfaaa3e760f369b3c,656609b01d177cd7ddaad922,88013,2A,woman,NA,NA,M1 is being opposed by M3,oppose2,rating_causation,"{""Q0"":5}",[0],M1 started opposing M3,M3 started opposing M1
