"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_race","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"null","<img src='gifs/MaleRace4b.gif' style='height:400px;''></img>",NA,"html-keyboard-response",99,508924,"0.0-13.0-1.17",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","正在跟随",NA,"html-keyboard-response",100,511931,"0.0-13.0-2.17",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"9641.000000000060",NA,NA,"survey-text",101,521576,"0.0-13.0-3.17",35039,"ListA","man","black",NA,NA,NA,NA,"{""Q0"":""戴夫正在跟随弗雷""}","<img src='gifs/MaleRace4b.gif' style='height:400px;''></img>","跟随","正在跟随","chinese",NA
"5996","<img src='img/portrait_matrix_listA_chinese.jpg' style='width:900px;height:500px;''></img><p>如果您已经记住了所有的人物和名字，请点击继续。</p><p><strong>请注意：您对先前记忆的面孔将在本实验中被测试5次。</strong></p>",0,"html-button-response",102,527573,"0.0-14.0-0.0",35039,"ListA","man","black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7485.999999999880","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,"html-button-response",103,536066,"0.0-14.0-1.0",35039,"ListA","man","black",NA,TRUE,2,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",104,537570,"0.0-14.0-2.0-0.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"3879","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,"html-button-response",105,541451,"0.0-14.0-4.0",35039,"ListA","man","black",NA,TRUE,3,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",106,542955,"0.0-14.0-5.0-0.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"3906","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,"html-button-response",107,546864,"0.0-14.0-7.0",35039,"ListA","man","black",NA,TRUE,7,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",108,548368,"0.0-14.0-8.0-0.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"3275","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,"html-button-response",109,551645,"0.0-14.0-10.0",35039,"ListA","man","black",NA,TRUE,1,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",110,553149,"0.0-14.0-11.0-0.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"1911","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,"html-button-response",111,555063,"0.0-14.0-13.0",35039,"ListA","man","black",NA,TRUE,4,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",112,556566,"0.0-14.0-14.0-0.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"3697","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,"html-button-response",113,560265,"0.0-14.0-16.0",35039,"ListA","man","black",NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",114,561769,"0.0-14.0-17.0-0.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"2029","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,"html-button-response",115,563801,"0.0-14.0-19.0",35039,"ListA","man","black",NA,TRUE,5,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",116,565304,"0.0-14.0-20.0-0.0",35039,"ListA","man","black",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"4411","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,"html-button-response",117,569719,"0.0-14.0-22.0",35039,"ListA","man","black",NA,TRUE,6,NA,NA,NA,NA,NA,NA,NA
