"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"15218.000000000116","","","survey-likert-extra-labels","53","1568089","0.0-22.0-2.0","15044","1B","woman","","","W2 is teaching M4","teach","rating_volition","{""Q0"":1}","[0]","W2 is educating M4","M4 is educating W2"
"3559","","","survey-likert-extra-labels","54","1571653","0.0-22.0-3.0-0.0","15044","1B","woman","","","W2 is teaching M4","teach","rating_causation","{""Q0"":4}","[0]","W2 is learning from M4","M4 is learning from W2"
"null","Luke is flirting with Mike","","html-keyboard-response","55","1573664","0.0-23.0-0.0","15044","1B","woman","","null","M2 is flirting with M4","flirt2","sentence","","","",""
"4687","","","survey-likert-extra-labels","56","1578357","0.0-23.0-2.0","15044","1B","woman","","","M2 is flirting with M4","flirt2","rating_volition","{""Q0"":1}","[0]","M2 wanted to flirt with M4","M4 wanted to flirt with M2"
"3755.9999999998836","","","survey-likert-extra-labels","57","1582119","0.0-23.0-3.0-0.0","15044","1B","woman","","","M2 is flirting with M4","flirt2","rating_causation","{""Q0"":2}","[0]","M2 started flirting with M4 first","M4 started flirting with M2 first"
"null","Ruth is playing with Jane","","html-keyboard-response","58","1584122","0.0-24.0-0.0","15044","1B","woman","","null","W2 is playing with W4","play1","sentence","","","",""
"4027.9999999998836","","","survey-likert-extra-labels","59","1588155","0.0-24.0-1.0-0.0","15044","1B","woman","","","W2 is playing with W4","play1","rating_causation","{""Q0"":3}","[0]","W2 asked to play with W4","W4 asked to play with W2"
"3529","","","survey-likert-extra-labels","60","1591689","0.0-24.0-2.0","15044","1B","woman","","","W2 is playing with W4","play1","rating_volition","{""Q0"":1}","[0]","W2 wanted to play with W4","W4 wanted to play with W2"
"null","Mike is fighting with Luke","","html-keyboard-response","61","1593695","0.0-25.0-0.0","15044","1B","woman","","null","M4 is fighting with M2","fight2","sentence","","","",""
"2533","","","survey-likert-extra-labels","62","1596241","0.0-25.0-1.0-0.0","15044","1B","woman","","","M4 is fighting with M2","fight2","rating_causation","{""Q0"":3}","[0]","M2 started the fight with M4","M4 started the fight with M2"
"2741","","","survey-likert-extra-labels","63","1598988","0.0-25.0-2.0","15044","1B","woman","","","M4 is fighting with M2","fight2","rating_volition","{""Q0"":3}","[0]","M2 wanted to fight M4","M4 wanted to fight M2"
"null","Beth is feeding Fred","","html-keyboard-response","64","1600993","0.0-26.0-0.0","15044","1B","woman","","null","W3 is feeding M1","feed","sentence","","","",""
"8040","","","survey-likert-extra-labels","65","1609038","0.0-26.0-1.0-0.0","15044","1B","woman","","","W3 is feeding M1","feed","rating_causation","{""Q0"":5}","[0]","W3 is eating M1's food","M1 is eating W3's food"
"6281.000000000116","","","survey-likert-extra-labels","66","1615324","0.0-26.0-2.0","15044","1B","woman","","","W3 is feeding M1","feed","rating_volition","{""Q0"":1}","[0]","W3 is giving M1 food","M1 is giving W3 food"
"null","Ruth is shouting at Mike","","html-keyboard-response","67","1617327","0.0-27.0-0.0","15044","1B","woman","","null","W2 is shouting at M4","shout4","sentence","","","",""
