"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"8809.50000003213","","","survey-likert-extra-labels","107","674083","0.0-40.0-2.0","55890","1B","man","","","W3 is feeding M1","feed","rating_volition","{""Q0"":0}","[0]","W3 is giving M1 food","M1 is giving W3 food"
"6239.899999985937","","","survey-likert-extra-labels","108","680325","0.0-40.0-3.0-0.0","55890","1B","man","","","W3 is feeding M1","feed","rating_causation","{""Q0"":6}","[0]","W3 is eating M1's food","M1 is eating W3's food"
"null","Beth is touching Fred","","html-keyboard-response","109","682326","0.0-41.0-0.0","55890","1B","man","","null","W3 is touching M1","touch3","sentence","","","",""
"7270.599999988917","","","survey-likert-extra-labels","110","689599","0.0-41.0-1.0-0.0","55890","1B","man","","","W3 is touching M1","touch3","rating_causation","{""Q0"":0}","[0]","W3 asked to touch M1","M1 asked to touch W3"
"6319.900000002235","","","survey-likert-extra-labels","111","695920","0.0-41.0-2.0","55890","1B","man","","","W3 is touching M1","touch3","rating_volition","{""Q0"":0}","[0]","W3 wanted to touch M1","M1 wanted to touch W3"
"null","Mike is marrying Luke","","html-keyboard-response","112","697923","0.0-42.0-0.0","55890","1B","man","","null","M4 is marrying M2","marry2","sentence","","","",""
"6174.099999945611","","","survey-likert-extra-labels","113","704099","0.0-42.0-2.0","55890","1B","man","","","M4 is marrying M2","marry2","rating_volition","{""Q0"":5}","[0]","M2 wanted to marry M4","M4 wanted to marry M2"
"8342.399999964982","","","survey-likert-extra-labels","114","712443","0.0-42.0-3.0-0.0","55890","1B","man","","","M4 is marrying M2","marry2","rating_causation","{""Q0"":0}","[0]","M2 asked to marry M4","M4 asked to marry M2"
"null","Beth is kissing Kate","","html-keyboard-response","115","714446","0.0-43.0-0.0","55890","1B","man","","null","W3 is kissing W1","kiss1","sentence","","","",""
"8709.199999982957","","","survey-likert-extra-labels","116","723156","0.0-43.0-1.0-0.0","55890","1B","man","","","W3 is kissing W1","kiss1","rating_causation","{""Q0"":5}","[0]","W1 asked to kiss W3","W3 asked to kiss W1"
"5903.699999966193","","","survey-likert-extra-labels","117","729062","0.0-43.0-2.0","55890","1B","man","","","W3 is kissing W1","kiss1","rating_volition","{""Q0"":6}","[0]","W1 wanted to kiss W3","W3 wanted to kiss W1"
"null","Fred is shouting at Dave","","html-keyboard-response","118","731065","0.0-44.0-0.0","55890","1B","man","","null","M1 is shouting at M3","shout2","sentence","","","",""
"7814.599999983329","","","survey-likert-extra-labels","119","738880","0.0-44.0-1.0-0.0","55890","1B","man","","","M1 is shouting at M3","shout2","rating_causation","{""Q0"":6}","[0]","M1 shouted at M3 first","M3 shouted at M1 first"
"7076.100000005681","","","survey-likert-extra-labels","120","745959","0.0-44.0-2.0","55890","1B","man","","","M1 is shouting at M3","shout2","rating_volition","{""Q0"":1}","[0]","M1 wanted to shout at M3","M3 wanted to shout at M1"
"null","Beth is playing with Fred","","html-keyboard-response","121","747961","0.0-45.0-0.0","55890","1B","man","","null","W3 is playing with M1","play4","sentence","","","",""
"5598.600000026636","","","survey-likert-extra-labels","122","753561","0.0-45.0-2.0","55890","1B","man","","","W3 is playing with M1","play4","rating_volition","{""Q0"":0}","[0]","W3 wanted to play with M1","M1 wanted to play with W3"
"3893.1999999913387","","","survey-likert-extra-labels","123","757457","0.0-45.0-3.0-0.0","55890","1B","man","","","W3 is playing with M1","play4","rating_causation","{""Q0"":0}","[0]","W3 asked to play with M1","M1 asked to play with W3"
"null","Ruth is carrying Jane","","html-keyboard-response","124","759460","0.0-46.0-0.0","55890","1B","man","","null","W2 is carrying W4","carry","sentence","","","",""
