"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","url","key_press","sentence_type","verb","test_part","responses","question_order","left_part","right_part"
"null","Mike is shouting at Beth","","html-keyboard-response","52","1117502","0.0-22.0-0.0","618","1A","man","","null","M2 is shouting at W4","shout3","sentence","","","",""
"7508.059999992838","","","survey-likert-extra-labels","53","1125014","0.0-22.0-2.0","618","1A","man","","","M2 is shouting at W4","shout3","rating_volition","{""Q0"":3}","[0]","M2 wanted to shout at W4","W4 wanted to shout at M2"
"2704.855000003474","","","survey-likert-extra-labels","54","1127721","0.0-22.0-3.0-0.0","618","1A","man","","","M2 is shouting at W4","shout3","rating_causation","{""Q0"":3}","[0]","M2 shouted at W4 first","W4 shouted at M2 first"
"null","Mike is playing with Dave","","html-keyboard-response","55","1129724","0.0-23.0-0.0","618","1A","man","","null","M2 is playing with M4","play2","sentence","","","",""
"2046.7849999985192","","","survey-likert-extra-labels","56","1131772","0.0-23.0-2.0","618","1A","man","","","M2 is playing with M4","play2","rating_volition","{""Q0"":3}","[0]","M2 wanted to play with M4","M4 wanted to play with M2"
"2503.589999993099","","","survey-likert-extra-labels","57","1134278","0.0-23.0-3.0-0.0","618","1A","man","","","M2 is playing with M4","play2","rating_causation","{""Q0"":3}","[0]","M2 asked to play with M4","M4 asked to play with M2"
"null","Dave is arguing with Jane","","html-keyboard-response","58","1136279","0.0-24.0-0.0","618","1A","man","","null","M4 is arguing with W2","argue3","sentence","","","",""
"3713.034999993397","","","survey-likert-extra-labels","59","1139994","0.0-24.0-2.0","618","1A","man","","","M4 is arguing with W2","argue3","rating_volition","{""Q0"":3}","[0]","W2 wanted to argue with M4","M4 wanted to argue with W2"
"3244.469999990426","","","survey-likert-extra-labels","60","1143242","0.0-24.0-3.0-0.0","618","1A","man","","","M4 is arguing with W2","argue3","rating_causation","{""Q0"":3}","[0]","W2 started an argument with M4","M4 started an argument with W2"
"null","Luke is fighting with Kate","","html-keyboard-response","61","1145244","0.0-25.0-0.0","618","1A","man","","null","M1 is fighting with W3","fight3","sentence","","","",""
"3022.3600000026636","","","survey-likert-extra-labels","62","1148268","0.0-25.0-2.0","618","1A","man","","","M1 is fighting with W3","fight3","rating_volition","{""Q0"":3}","[0]","W3 wanted to fight M1","M1 wanted to fight W3"
"1767.6099999954458","","","survey-likert-extra-labels","63","1150038","0.0-25.0-3.0-0.0","618","1A","man","","","M1 is fighting with W3","fight3","rating_causation","{""Q0"":3}","[0]","W3 started the fight with M1","M1 started the fight with W3"
"null","Luke is driving Fred","","html-keyboard-response","64","1152041","0.0-26.0-0.0","618","1A","man","","null","M1 is driving M3","drive","sentence","","","",""
"3963.415000005625","","","survey-likert-extra-labels","65","1156005","0.0-26.0-1.0-0.0","618","1A","man","","","M1 is driving M3","drive","rating_causation","{""Q0"":6}","[0]","M3 is taking M1 somewhere","M1 is taking M3 somewhere"
"6750.560000000289","","","survey-likert-extra-labels","66","1162758","0.0-26.0-2.0","618","1A","man","","","M1 is driving M3","drive","rating_volition","{""Q0"":0}","[0]","M3 is M1's passenger","M1 is M3's passenger"
"null","Mike is dancing with Beth","","html-keyboard-response","67","1164760","0.0-27.0-0.0","618","1A","man","","null","M2 is dancing with W4","dance4","sentence","","","",""
"4343.445000005886","","","survey-likert-extra-labels","68","1169105","0.0-27.0-2.0","618","1A","man","","","M2 is dancing with W4","dance4","rating_volition","{""Q0"":3}","[0]","M2 wanted to dance with W4","W4 wanted to dance with M2"
